label,message
fraud,Your UPI ID has been blocked. Complete KYC verification immediately at bit.ly/upi-kyc to avoid service disruption.
fraud,"URGENT: Rs.9,999 will be debited from your account. To cancel this transaction call 9876543210 immediately."
fraud,"Dear customer, your PhonePe wallet is suspended. Click here to verify: http://phonpe-kyc.in/verify"
fraud,"Congratulations! You have received Rs.50,000 in your UPI account. Enter your UPI PIN to claim: paytm-reward.co.in"
fraud,Your Google Pay account will be deactivated in 24 hours. Update KYC now: gpay-kyc-update.com
fraud,SBI ALERT: Suspicious login detected on your account. Call our fraud helpline 8800XXXXXX to secure your account.
fraud,"Dear UPI user, your account limit has been upgraded to Rs.1,00,000. Confirm by sharing your OTP sent to registered mobile."
fraud,"Your BHIM UPI transaction of Rs.15,000 is on hold. Verify your details at bhim-verify.net to release funds."
fraud,"We are crediting Rs.2,500 cashback to your Paytm. Enter PIN to receive: paytm-cashback.xyz"
fraud,NPCI: Your UPI handle will expire today. Re-register at npci-upi.online to continue transactions.
fraud,"Your electricity bill payment failed. Pay Rs.1,450 now to avoid disconnection. Click: bill-pay-urgent.com"
fraud,"Income Tax Refund of Rs.18,500 approved. Share your UPI ID and bank details to receive amount immediately."
fraud,"GPay: You won Rs.1,000 in our lucky draw. Claim by entering your UPI PIN at googlepay-offer.in"
fraud,HDFC Bank: Your net banking access will be blocked. Verify PAN card details now: hdfc-secure.co
fraud,"Dear customer send Rs.1 to this UPI ID to receive Rs.5,000 back as part of our testing reward program: reward@ybl"
fraud,Your FASTag wallet is low. Recharge now to avoid penalty. Pay via this link: fastag-recharge.net/urgent
fraud,Amazon Pay: Your KYC is incomplete. Account will be suspended in 2 hours. Update: amazon-pay-kyc.com
fraud,"IRCTC: Your ticket booking refund of Rs.3,200 is ready. Share UPI PIN to process: irctc-refund.in"
fraud,Congratulations! BSNL lottery winner. You have won Rs.25 Lakhs. Send Rs.500 processing fee to claim@upi
fraud,Your Aadhaar linked bank account shows suspicious activity. Block it now: aadhaar-bank-secure.com
fraud,"PM Kisan Samman Nidhi: Rs.6,000 ready for transfer. Verify your UPI ID at pmkisan-gov.in.xyz"
fraud,Your mutual fund SIP payment failed. Avoid penalty by paying via: sip-payment-now.com/urgent
fraud,"OTP for UPI transaction Rs.49,999 to unknown@paytm is 784321. Do NOT share with anyone."
fraud,"Flipkart: Your order refund Rs.2,199 failed. Re-enter bank details at flipkart-refund-portal.com"
fraud,Dear user your Jio recharge failed. Your number will be deactivated. Recharge now: jio-recharge-urgent.net
fraud,"Instant loan approved! Rs.50,000 in your account within 10 minutes. No documents needed. Download: QuickCash app"
fraud,"CashBus: Your loan of Rs.20,000 is approved. Download now and get money instantly. Zero interest first month."
fraud,"Urgent: Your EasyLoan EMI is overdue. Pay Rs.3,500 immediately or legal action will be taken against you."
fraud,"LoanPe App: Pre-approved personal loan Rs.1,00,000 at 0% interest for 3 months. Apply now: loanpe.apk"
fraud,"RupeeFast: Get Rs.10,000 in 5 minutes. Only Aadhaar required. No CIBIL check. Download: rupeefast.in/app"
fraud,"You are eligible for Rs.75,000 instant loan. Our agent will call you. Keep Aadhaar and PAN ready."
fraud,"NOTICE: Your MoneyView loan account is overdue. Pay Rs.8,900 now to avoid CIBIL score damage and legal notice."
fraud,"KreditBee clone alert: You have been selected for instant Rs.30,000 loan. Share Aadhaar OTP to disburse."
fraud,"CashMama App: Borrow Rs.5,000 today, repay Rs.5,200 next month. Install: cashmama-loan.apk"
fraud,"Your loan application is approved. To disburse Rs.40,000 pay security deposit of Rs.999 first."
fraud,"Loan recovery agent will visit your home tomorrow if Rs.12,000 is not paid today. Contact: 9XXXXXXXXX"
fraud,"We will send your morphed photos to all your contacts if loan of Rs.5,000 is not repaid by tonight."
fraud,Dear customer your loan app account has been hacked. Share OTP to secure your account immediately.
fraud,"InstaCash: No income proof needed. Rs.15,000 loan in 15 minutes. Only selfie and Aadhaar required."
fraud,"Your loan is approved. Before disbursement pay GST amount of Rs.1,180 to this UPI: gst@cashfast"
fraud,This is CBI officer speaking. Your mobile number is involved in money laundering. Call back: 011-XXXXXXXX
fraud,TRAI: Your mobile number will be disconnected in 2 hours due to illegal activities. Press 9 to speak to officer.
fraud,Your Aadhaar card is being misused for opening 4 bank accounts. Call cybercrime helpline: 9XX-XXXXXXX
fraud,Mumbai Police Cyber Cell: A complaint has been filed against your UPI ID. Appear at station or call: 9XXXXXXXXX
fraud,"You have a pending court case. Pay fine of Rs.5,000 via UPI to avoid arrest warrant: court-fine@upi"
fraud,ED Office: Your bank account is under investigation. Cooperate by sharing account details to avoid arrest.
fraud,Your SIM card will be blocked as per DOT order. Call 198 immediately to avoid disconnection.
fraud,This is your bank manager. We need to verify your account. Please share your card number and CVV.
fraud,"ICICI Bank: We detected a fraud transaction of Rs.45,000. To reverse it share the OTP you just received."
fraud,Customs Department: A parcel in your name has been seized containing drugs. Pay clearance fee to release.
fraud,Amazon delivery: Your package is held at customs. Pay Rs.299 duty charge: amazon-customs-pay.com
fraud,"COVID relief fund: You are eligible for Rs.4,000 government aid. Register at covid-relief-india.xyz"
fraud,Your Voter ID card has an error. Update details at voterportal-eci.co to avoid cancellation.
fraud,RBI Governor office: Your account has been flagged. Cooperate with investigation or face legal action.
fraud,"Your PAN card is linked to illegal transactions. Pay penalty of Rs.10,000 to avoid arrest: pan-fine.in"
ham,UPI transaction of Rs.500 to Zomato India successful. Ref no: 234567890123
ham,"Rs.1,200 debited from your account via UPI to Amazon Seller Services. UTR: 3456789012"
ham,"You have received Rs.2,000 from Rahul Kumar via Google Pay."
ham,Your Paytm wallet has been credited with Rs.500 cashback on recharge.
